"pos","parkrunner","time"
1,"William Leon SMITH","17:53"
3,"Robert ENGLISH","18:53"
4,"Jon CROCKETT","19:01"
5,"Toby LECHLER","19:28"
6,"Sam BELLIS","20:00"
7,"Ed HAWKINS","20:03"
8,"Alexander SMITH","20:26"
9,"Ben HAMPSON","20:39"
10,"Mark BENTLEY","20:54"
11,"Chris EDGE","20:55"
12,"Simon BRADSHAW","20:59"
13,"Nick POWER","21:04"
14,"William GOUNDRY","21:20"
15,"Colin TELFORD","21:39"
16,"Matt FARR","21:48"
17,"Jonny NIXON","22:08"
18,"John SHAW","22:10"
19,"Philip DOYLE","22:13"
20,"Paul BRACKLEY","22:29"
21,"Paul FLETCHER","22:31"
22,"Sean MCWILLIAMS","22:34"
23,"Phil LEONARD","22:37"
24,"Toby BUTT","22:44"
25,"James MALONE","22:49"
26,"Engku FAZUAN","22:54"
27,"Michael TALBOT","23:01"
28,"Mark KNIGHT","23:13"
29,"Robert DICKSON","23:20"
30,"Andy HAVER","23:21"
31,"Stephen BRAY-WOOD","23:27"
32,"Rob MCTEAR","23:31"
33,"Gareth DIXON","23:46"
34,"Paul WILSON","23:53"
35,"Robert SWEENEY","23:57"
36,"Helen YATES","24:00"
37,"John O'DONNELL","24:02"
38,"Yoshi EBASHI","24:08"
39,"Nathan BOOTH","24:13"
40,"James DILLON","24:21"
41,"Bernadette OWEN","24:29"
42,"Matt WILLIS","24:35"
43,"Sam DIXON","24:53"
44,"William WALL","24:56"
45,"Jack DYSON","24:57"
46,"Daniel BAIRD","24:59"
47,"Tom HODSON","25:00"
48,"David PROCTOR","25:03"
49,"Mark ASHWORTH","25:05"
50,"Ron FITZGERALD","25:15"
51,"Hadley LUMSDEN","25:20"
52,"Andrew FORBES","25:20"
53,"Gary DANIELS","25:22"
54,"Dominic MCCORMACK","25:29"
55,"Jim MACARTHUR","25:33"
56,"Daniel SWINDEN","25:34"
57,"Sarah DANIELS","25:36"
58,"Anthony WRIGLEY","25:39"
59,"Paul CLIFFORD","25:48"
60,"Fran DICKSON","26:01"
61,"Carmen SWEENEY-BRENNAN","26:08"
62,"Edmund GREGORY","26:21"
63,"Katie DALLENDER","26:37"
64,"John SWEENEY","26:47"
65,"Elle MECROW","27:07"
66,"Peter STANLEY","27:10"
67,"Jill JOHNSTONE","27:13"
68,"Nick CROWHURST","27:14"
69,"Naomi FARQUHARSON","27:16"
70,"Ally WHIKE","27:18"
71,"Jason LYNN","27:24"
72,"Stefan SCHUMACHER","27:27"
73,"Marcus DANIELS","27:30"
74,"Hazel BEE","27:46"
75,"Michael MCGINTY","27:47"
76,"Katherine SPEAK","27:54"
77,"Adrian ALLEN","28:00"
78,"Victoria BARLOW","28:15"
79,"Philip GWYNNE","28:33"
80,"Ruby MILLER","28:34"
81,"Keith MILLER","28:37"
82,"Heather WATTS","28:42"
83,"Ged FORKIN","28:43"
84,"Stephen DAUNCEY","28:44"
85,"Andrew STEVENSON","28:45"
86,"William PROUT","28:54"
88,"Rosie MCNICHOLLS","28:59"
89,"Justine WONG","29:01"
90,"Ajay PATEL","29:04"
91,"Susan ENGLISH","29:07"
92,"Andrew ENGLISH","29:07"
93,"Charlotte AMES","29:09"
94,"Tony CHAPPELL","29:12"
95,"Sarah CLELLAND","29:15"
96,"Nicholas RANK","29:21"
97,"Bren CHAPPELL","29:29"
98,"Mark FIELD","29:43"
99,"Dot MULDOON","29:44"
100,"Aaron CAMPBELL","30:18"
101,"Alun MURCH","30:19"
102,"Hollie SMITH","30:25"
103,"Mags BRADBURY","30:37"
104,"Louise KEENAN","30:51"
105,"Amy DUTTON","30:59"
106,"Meg DUFFY","31:04"
107,"Roseanne BYRNE","31:05"
108,"Gavin MILLER","31:21"
109,"Karen MCKINNIE","31:33"
110,"Vicky WALDEN","31:38"
111,"Andy BRITTON","31:43"
112,"Amy NYIRI","31:49"
114,"Peter BARRETT","32:07"
115,"George PANTELI","32:18"
116,"Andy CRAIG","32:20"
117,"John HUMPHREYS","32:27"
118,"Judith BERRY","32:41"
119,"Ginny AWAN","32:42"
120,"Dawn WALL","32:50"
121,"Deborah HEWITT","33:00"
122,"Tracy LYNN","33:02"
123,"Jill CLAYTON-SMITH","33:04"
124,"Alison MCGINTY","33:30"
125,"Susie MARTIN","34:32"
126,"Coral SWEENEY-BRENNAN","34:56"
127,"Belinda BRENNAN","34:57"
128,"Vicky OLEY","34:58"
129,"Stephanie VASS","35:32"
130,"Nazia PARVEEN","35:39"
131,"Jacqueline PANTELI","35:39"
132,"Bernie CUNLIFFE","36:08"
133,"Iona MOIR","36:38"
134,"Jack BOWER","36:45"
135,"Craig BOWER","36:46"
136,"Jacqueline CHEETHAM","36:51"
137,"Evelyn SPEAK","37:13"
138,"Phil SPEAK","37:14"
139,"Joanne CROWHURST","37:29"
140,"Eliot LOWE","37:42"
141,"Shariq ABBAS","37:43"
142,"Lindsey LOUGHTMAN","38:01"
143,"Elaine HAVER","38:15"
144,"Jeanette QUINN","38:35"
145,"Margaret TRICKEY","38:53"
146,"Phil CHORLEY","39:08"
147,"Alan L SMITH","39:20"
148,"Laura WILLIAMS","40:16"
149,"Alison LEVER","40:48"
150,"Denise BEYNON","43:12"
151,"Jenny M SMITH","45:54"
152,"Diana POWELL","46:02"
153,"Anthea MOAT","46:03"
