"pos","parkrunner","time"
1,"Louis SZYMANSKI","15:51"
2,"Sebastian POMA","16:24"
3,"Harry POOLE","16:43"
4,"James LEWIS","17:16"
5,"Andres LEON SANTOS","17:20"
6,"Toby ROBINSON","17:22"
7,"Anthony LYNCH","17:23"
8,"Lee PEAKE","17:31"
9,"Bruno BALARIN ALVAREZ","17:37"
10,"Rhys FRANCIS","17:39"
11,"Kevin WATERHOUSE","17:42"
12,"Liam FAHERTY","17:46"
13,"Harry BOWERS","17:56"
14,"Jonathan RATCLIFFE","18:04"
15,"Declan BROWN","18:04"
16,"Paul BANHAM","18:07"
17,"Seb BAKER","18:13"
18,"Joseph GUNTRIP","18:20"
19,"Rachel BROWN","18:21"
20,"Stuart TUCKER","18:22"
21,"Dylan STANWAY","18:24"
22,"Tom CLARK","18:25"
23,"George CURTIN","18:27"
24,"James O'DRISCOLL","18:35"
25,"Sean ASTLEY","18:36"
26,"Arun PATEL","18:46"
27,"Elliot GRESTY","18:46"
28,"Harry YATES","18:49"
29,"Leo FERENDENUS","19:04"
30,"Ashley MCCABE","19:05"
31,"Niall JORDAN","19:05"
32,"Charlotte HAYWOOD-PERCIVAL","19:06"
33,"Jack CARNEY","19:11"
34,"Harvey LOWE","19:15"
35,"Thomas GRAHAM","19:24"
36,"Arthur HARWOOD","19:26"
37,"Eden SADLER-BAKER","19:29"
38,"Paul WHITEMAN","19:30"
39,"Chris WORTHINGTON","19:34"
40,"Adam BURNETT","19:35"
41,"Keith MERCER","19:37"
42,"Andrew BOWLER","19:39"
43,"Nick JACKSON","19:39"
44,"Gaz BARKER","19:39"
45,"Anjum AHMED","19:42"
46,"Ryan MOORE","19:50"
47,"William GOSLIN","19:59"
49,"Nathan FLANAGAN","20:01"
50,"Alexander SMITH","20:05"
51,"Jim CAMPBELL","20:06"
52,"Hugo WOODS","20:07"
53,"Mungo STACY","20:11"
54,"Chris LANG","20:15"
55,"Alexander DOCHERY","20:16"
56,"Chris BURTON","20:18"
57,"Kevin RYAN","20:19"
58,"Matt PARRY","20:21"
59,"Tom MALLINSON","20:22"
60,"Jonathan GORNER","20:24"
61,"John LUGSDEN","20:25"
62,"Naz ZAMEER","20:25"
64,"James BUTLER","20:29"
65,"Dayle DWYER","20:31"
66,"Alex SINCLAIR","20:31"
67,"Oliver UJSZASZI","20:35"
68,"Jamie HUBBOLD","20:38"
69,"Wesley OTOOLE","20:39"
70,"Jon HOWARD","20:41"
71,"Shane WOLSTENCROFT","20:41"
72,"Tom SMITH","20:47"
73,"Charlotte REDHEAD","20:50"
74,"Paul MALLINSON","20:51"
75,"Gary HUGHES","20:55"
76,"Ben GILLIN","20:59"
77,"Linus SCOTCHMERE","21:02"
78,"Sebastian BATE","21:06"
79,"Mark SALMON","21:07"
80,"Alan BEAUMONT","21:08"
81,"Tom ELPHICK","21:09"
82,"Sophie SHAW","21:10"
83,"Thomas HAIGH","21:11"
84,"Alex POTTS","21:11"
85,"Michael CRABB","21:11"
87,"Robin BEAUMONT","21:13"
88,"Harry SMITH","21:18"
89,"Andrew WOOD","21:20"
90,"Charlie WAN","21:21"
91,"Mihir PATEL","21:22"
92,"Faris KHAN","21:24"
93,"Simon PACK","21:24"
94,"Darren EAVES","21:31"
